Date,Mag.,SN Position,Type
2013 03 03,19.2,11 14 54.07 +29 35 06.0,Ia
2013 03 09,13.5,08 07 06.69 -28 03 10.1,II
2013 03 03,14.7,13 54 00.68 -07 55 43.8,Ia
2013 03 01,17.4,06 16 18.35 -21 22 32.9,II
2013 02 22,18.6,09 44 33.80 +55 45 44.4,Ia
2013 03 03,16.0,12 51 35.02 +26 37 45.4,Ia
2013 03 01,18.9,09 13 55.17 +55 46 56.7,II-P
2013 02 19,16.2,02 41 53.16 +43 23 58.9,Ia
2013 02 15,17.5,03 38 41.03 +10 18 27.2,Ia
2013 02 15,18.2,09 45 08.79 +58 40 07.3,IIP
2013 02 17,17.6,14 32 44.49 +09 53 12.3,II
2013 02 13,11.9,14 32 33.88 -44 13 27.8,Ia
2013 01 24,19.0,13 27 54.89 +30 22 29.4,IIP
2013 02 06,18.7,12 09 39.70 +16 12 14.3,Ia
2013 02 06,17.9,12 17 15.19 +46 43 35.9,Ia
2013 01 06,18.0,10 06 34.02 +14 25 57.8,IIn
2013 01 06,17.8,09 08 41.54 +44 48 49.6,Ia
2013 01 05,16.6,10 01 12.00 +00 19 42.3,Ia-p
2013 01 22,17.0,13 10 19.68 +32 28 25.7,Ia
2013 01 25,16.1,03 35 30.29 +38 16 59.7,Ia
2013 01 06,16.7,09 31 35.12 +35 23 42.4,Ia
2013 01 25,17.5,23 47 07.87 +29 29 11.5,Ia
2013 01 15,17.0,09 13 37.17 +29 59 58.7,IIb
2013 01 21,18.3,08 52 05.98 +52 36 06.2,Ia
2013 01 26,15.9,11 50 04.13 +21 16 46.0,Ia
2013 01 20,17.4,13 59 56.68 -37 51 49.4,Ia
2013 01 22,15.6,11 45 29.55 -50 35 53.1,IIn
2013 01 20,17.7,17 39 31.54 -85 18 38.1,IIP
2013 01 19,18.8,11 12 50.30 +28 04 19.7,Ic
2013 01 11,18.6,02 49 42.17 +00 45 35.7,Ia?
2013 01 06,16.5,09 06 30.70 -75 49 01.5,Ia
2013 01 05,16.0,11 53 21.32 +20 45 10.0,Ia
2013 01 05,17.1,23 28 45.03 -41 19 56.2,Ib/c
2013 01 04,14.8,10 00 05.52 -34 14 01.3,Ia
2013 01 03,17.5,03 41 15.13 +15 23 03.9,Ia
2013 01 04,16.5,11 05 55.22 +72 31 20.3,Ia
2013 01 03,17.2,09 04 00.80 -72 03 24.8,Ia
2013 01 01,17.6,02 22 04.26 +32 13 57.8,Ia
2012 07 25,18.9,20 57 53.92 -51 52 24.8,Ic
2012 01 21,18.1,09 46 12.85 +19 50 28.2,Ic
2012 12 23,19.4,07 35 26.91 +51 52 50.4,Ia
2012 12 29,18.0,11 40 15.84 +17 27 22.2,Ia
